company,company_link,job_link,job_title,location,new_offer,rating
MATICMIND,,https://it.indeed.com/rc/clk?jk=0fce03ea9984c302&fccid=65a386b1e1076365&vjs=3,Senior Project Manager,00183 Roma,True,
Acea Group,,https://it.indeed.com/rc/clk?jk=12495bb465a45f57&fccid=4fae531addb72bf4&vjs=3,Project Manager Officer,"Roma, Lazio",,
Start Hub Consulting SPA,,https://it.indeed.com/rc/clk?jk=09f811e34752d8af&fccid=ea798c0d168f655a&vjs=3,Project Manager,Da remoto in 00165 Roma,,
SCIENTIAConsulting,,https://it.indeed.com/rc/clk?jk=2d1b96d1dfee51d6&fccid=3439d937cbdd2d14&vjs=3,Junior & Senior Project Manager,"Roma, Lazio",,
Alstom,https://it.indeed.com/cmp/Alstom,https://it.indeed.com/rc/clk?jk=26a02b562a5d6a53&fccid=70bbeb2771f8c8e7&vjs=3,Project Industrial Manager,"Da remoto in Roma, Lazio",True,4.0
Trafoser,,https://it.indeed.com/company/Trafoser/jobs/Project-Manager-a036319159243e5d?fccid=25e43438023a83ec&vjs=3,Project Manager,00041 Albano Laziale,True,
Siemens Gamesa Renewable Energy,,https://it.indeed.com/rc/clk?jk=017925f04a6d51d2&fccid=80ce8fe747cb0aff&vjs=3,Project Manager,"Ostiense, Lazio",True,
Capgemini,https://it.indeed.com/cmp/Capgemini,https://it.indeed.com/rc/clk?jk=d7db06f3269d4122&fccid=105ecfd0283f415f&vjs=3,Junior Project Analyst,"Roma, Lazio",,3.8
IQT CONSULTING SPA,https://it.indeed.com/cmp/Iqt-Consulting,https://it.indeed.com/company/IQT-Consulting/jobs/Project-Manager-3155787509df904a?fccid=f0df3884bf174b92&vjs=3,PROJECT MANAGER,"Roma, Lazio",,4.3
Procter & Gamble,https://it.indeed.com/cmp/Procter-&-Gamble,https://it.indeed.com/rc/clk?jk=7c5417e8c9073788&fccid=2da0dedf6df97194&vjs=3,Internship in Purchasing,"Roma, Lazio",,4.1
KT - Kinetics Technology,,https://it.indeed.com/rc/clk?jk=f9d0f0c3ce37cc4d&fccid=ad251f1f5280018d&vjs=3,PROJECT ENGINEERING MANAGER,"Roma, Lazio",,
Exelab,,https://it.indeed.com/rc/clk?jk=de03fdf977ccddfd&fccid=436d107cfc5dfffb&vjs=3,Project manager,"Roma, Lazio",True,
Associazione Centro ELIS,,https://it.indeed.com/company/Associazione-centro-ELIS/jobs/Project-Manager-Attivit%C3%A0-Formative-30d8d97913b08c60?fccid=e833ae4e0ec3d4f6&vjs=3,Project manager – attività formative,"Roma, Lazio",,
MANPOWER,https://it.indeed.com/cmp/Manpower,https://it.indeed.com/company/Manpower/jobs/Project-Manager-Junior-Assicurativo-92e10443c13cbcc7?fccid=1a17983a910f73d8&vjs=3,Project Manager Junior settore assicurativo,00187 Roma,True,3.8
Baker Hughes,https://it.indeed.com/cmp/Baker-Hughes-Incorporated,https://it.indeed.com/rc/clk?jk=3ae1c6a6d60f095f&fccid=f4c6ba597fc7aa75&vjs=3,Service Project Manager,"Roma, Lazio",,4.0
Glovo,https://it.indeed.com/cmp/Glovo,https://it.indeed.com/rc/clk?jk=cbc9ea09f2190b12&fccid=e79aa74d1d3ace1e&vjs=3,Partners Project Manager (They/She/He),"Roma, Lazio",True,3.0
Fendi,https://it.indeed.com/cmp/Fendi,https://it.indeed.com/rc/clk?jk=afb61eb98bc3a597&fccid=8755bb18f21009cf&vjs=3,VM Project Manager (Showroom & Special Events),"Da remoto in Roma, Lazio",,4.0
Projecta Monitoring,,https://it.indeed.com/rc/clk?jk=0f65de0737c163a2&fccid=672ee46eadcdb4ee&vjs=3,Project Control Manager - Cost Controller,"Roma, Lazio",,
Artelia Italia S.p.a.,,https://it.indeed.com/rc/clk?jk=1a6fde0cfc9b1549&fccid=f31d41682a57a0bd&vjs=3,Project Manager sede di Roma,00144 Roma,,
Hitachi Rail,https://it.indeed.com/cmp/Hitachi-Rail,https://it.indeed.com/company/Hitachi-Rail/jobs/Project-Manager-71d00ef983d5b6ad?fccid=b727a0823ada2316&vjs=3,Project Manager,80147 Napoli,,3.4
Croce Rossa Italiana,https://it.indeed.com/cmp/Croce-Rossa-Italiana,https://it.indeed.com/rc/clk?jk=91236198e2e5b79f&fccid=87cd226f1e096610&vjs=3,Project Manager,00151 Roma,,4.1
SIAV,,https://it.indeed.com/rc/clk?jk=69d2f8e983e1a5d1&fccid=5501059b984667a4&vjs=3,DELIVERY – PROJECT MANAGER,"Roma, Lazio",,
Dedagroup Public Services,,https://it.indeed.com/rc/clk?jk=1bc1a744c1908322&fccid=7921920d62842eba&vjs=3,Project Manager,"Roma, Lazio",,
Luxoft,https://it.indeed.com/cmp/Luxoft,https://it.indeed.com/rc/clk?jk=faac8df703ede12d&fccid=4b841d912d46e4fd&vjs=3,Project Manager,,True,4.4
Randstad,https://it.indeed.com/cmp/Randstad,https://it.indeed.com/company/Randstad/jobs/Junior-Project-Manager-0f7cc3fd7b8c4026?fccid=f8b265243da9f9d7&vjs=3,Junior Project Manager,"Roma, Lazio",True,3.7
esprimo,https://it.indeed.com/cmp/Esprimo,https://it.indeed.com/rc/clk?jk=01ea89719a9118c7&fccid=82b775bb0edf9bf5&vjs=3,Project Manager,"Roma, Lazio",,4.3
Fendi,https://it.indeed.com/cmp/Fendi,https://it.indeed.com/rc/clk?jk=5c963cd28aaa887d&fccid=8755bb18f21009cf&vjs=3,Marketing Development Manager,"Roma, Lazio",True,4.0
Badenoch + Clark,https://it.indeed.com/cmp/Badenoch-&-Clark,https://it.indeed.com/rc/clk?jk=0fa70e16467289a0&fccid=5f51a094e00466b7&vjs=3,Project Manager Operations,"Roma, Lazio",,3.5
Manpower,,https://it.indeed.com/company/hR-Recruiter/jobs/Project-Manager-85c66042e15d510c?fccid=03dde48754712081&vjs=3,Project Manager,"Roma, Lazio",True,
IQUII,https://it.indeed.com/cmp/Iquii,https://it.indeed.com/rc/clk?jk=42bcbc4aebef5bd8&fccid=61eff2b4ee003b07&vjs=3,Project Manager,"Da remoto in Roma, Lazio",,2.5
TMC,,https://it.indeed.com/rc/clk?jk=564e9e9ef6fa5199&fccid=64b619e6dd19534c&vjs=3,JUNIOR PROJECT MANAGER – DEFENSE SECTOR – TOSCANA/LAZIO,"Roma, Lazio",,
PS Lavoro srl,,https://it.indeed.com/rc/clk?jk=9bb8028b300f34d5&fccid=d502101ef9be5a4f&vjs=3,Digital/Web Project Manager - Roma,"Roma, Lazio",,
IPG Mediabrands,,https://it.indeed.com/rc/clk?jk=e786bf75ab2415f5&fccid=bcc67c9d86a19ca1&vjs=3,Digital Project Manager,"Roma, Lazio",True,
CRES-Centro Ricerche e Studi Europei-future...,,https://it.indeed.com/company/CRES--Centro-Ricerche-e-Studi-Europei--future-business/jobs/Eu-Project-Manager-b6f3de0157261048?fccid=0232a0d55fad231b&vjs=3,EU Project Manager,00135 Roma,,
Urbasolar,,https://it.indeed.com/rc/clk?jk=4a45b5692173d5ca&fccid=85e63c855465bc6e&vjs=3,Solar PV Project Development Manager,"Roma, Lazio",,
Adecco Italia,https://it.indeed.com/cmp/Adecco,https://it.indeed.com/rc/clk?jk=43ad7babc18ca95e&fccid=fa101182bd51b2ce&vjs=3,Project Manager Assistant,"Roma, Lazio",,3.8
Antaresvision,,https://it.indeed.com/company/ANTARES-VISION/jobs/Junior-Project-Manager-eb9ac5bf091fd949?fccid=0b4f60003c7280a8&vjs=3,JUNIOR PROJECT MANAGER,04011 Aprilia,,
Defence Tech,,https://it.indeed.com/rc/clk?jk=ed226686d4b9991c&fccid=840c715330af5106&vjs=3,Project Manager in ambito Spazio,"Roma, Lazio",,
Gemmo,https://it.indeed.com/cmp/Gemmo-Spa,https://it.indeed.com/rc/clk?jk=b5f95de411dcde3b&fccid=473eafea6666f127&vjs=3,PROJECT MANAGER GRANDI COMMESSE LAZIO,"Roma, Lazio",,3.8
IGT,,https://it.indeed.com/rc/clk?jk=7c61a4b542b0ce22&fccid=686992c6831d8b20&vjs=3,Technology Project Manager,00154 Roma,True,
Soft Strategy s.p.a,https://it.indeed.com/cmp/Soft-Strategy-S.p.a,https://it.indeed.com/rc/clk?jk=9527f86e6c2ddda3&fccid=320c1dd13435f8d6&vjs=3,JUNIOR PROJECT MANAGER,"Roma, Lazio",,3.8
LIDL Italia,https://it.indeed.com/cmp/Lidl,https://it.indeed.com/rc/clk?jk=bf22df506e9e9aea&fccid=14b7c83f2c02772e&vjs=3,Junior Real Estate Project Manager (f/m) Roma,00187 Roma,,3.2
SAVE THE CHILDREN,https://it.indeed.com/cmp/Save-the-Children,https://it.indeed.com/rc/clk?jk=a1c78edbae915f1e&fccid=bc17c558fb00df58&vjs=3,Coordinator Educazione e Didattica Digitale,"Roma, Lazio",True,4.1
SecretKey,,https://it.indeed.com/rc/clk?jk=c4c6dbd9211101e6&fccid=080d7bd32406bb58&vjs=3,Project Manager - Offerta di lavoro,"Roma, Lazio",,
Techyon,https://it.indeed.com/cmp/Techyon,https://it.indeed.com/rc/clk?jk=ef3c16ccd3a4edcf&fccid=066128dfeb4dabc4&vjs=3,AGILE PM | SCRUM MASTER | PROJECT MANAGER,00144 Roma,True,4.6
Onyx Technology S.r.l,,https://it.indeed.com/rc/clk?jk=cbd300c49ba3fa8c&fccid=91b0cf0279b12ebb&vjs=3,IT Project Manager,00100 Roma,,
Bridgestone,,https://it.indeed.com/rc/clk?jk=47d0b9a7dec9f32e&fccid=a4c796429bf9f8fa&vjs=3,Procurement Project Manager,"Roma, Lazio",,
The Innovation Factory,,https://it.indeed.com/rc/clk?jk=829c873f1f2a2534&fccid=f66c1ca46ba72c82&vjs=3,E-COMMERCE PROJECT MANAGER,"Da remoto in Roma, Lazio",,
Brain Management srl,,https://it.indeed.com/company/Brain-Management-srl/jobs/Pmo-2e125a0fdaeec40a?fccid=0063636df52c41a0&vjs=3,PMO - Project Manager Officer - Roma,"Da remoto in Roma, Lazio",,
Soft Strategy,https://it.indeed.com/cmp/Soft-Strategy,https://it.indeed.com/rc/clk?jk=07c4f28f8a0dda34&fccid=22ea216ce10e2b06&vjs=3,JUNIOR PROJECT MANAGER,"Roma, Lazio",,3.5
AXL Spa - Agenzia per il lavoro,https://it.indeed.com/cmp/Axl-S.p.a.,https://it.indeed.com/rc/clk?jk=229c697199f3283f&fccid=021f7c1833b72f6b&vjs=3,PROJECT MANAGER,"Roma, Lazio",,2.6
KT - Kinetics Technology,,https://it.indeed.com/rc/clk?jk=d164fececb2db26c&fccid=ad251f1f5280018d&vjs=3,CONTRACT MANAGER,"Roma, Lazio",,
KIBERNETES SRL,https://it.indeed.com/cmp/Kibernetes,https://it.indeed.com/company/Kibernetes/jobs/Software-Project-Manager-fb57cea83ebca926?fccid=4b4ccde7cdcfdeaa&vjs=3,SOFTWARE PROJECT MANAGER,"Roma, Lazio",,4.3
Vodafone,https://it.indeed.com/cmp/Vodafone,https://it.indeed.com/rc/clk?jk=c76908cbbbcabb89&fccid=374d720d3973ca1c&vjs=3,Enterprise Sn Project Manager,"Roma, Lazio",,3.9
3TI PROGETTI ITALIA S.p.A.,,https://it.indeed.com/rc/clk?jk=5611d98cba138706&fccid=c7869e4ced28a0cb&vjs=3,Project Manager -Infrastructures for transport,"Roma, Lazio",,
Uvet Group,,https://it.indeed.com/company/SETTEMARI-SRL/jobs/Eventi-Pharma-824f4608e95777c2?fccid=a812f1d804e10916&vjs=3,Eventi Pharma - Planning and Operations,"Roma, Lazio",,
KT - Kinetics Technology,,https://it.indeed.com/rc/clk?jk=4b05a5c788a1fc6e&fccid=ad251f1f5280018d&vjs=3,Expediting & Inspection Category Manager,"Roma, Lazio",,
JLL,https://it.indeed.com/cmp/Jll,https://it.indeed.com/rc/clk?jk=249f7d65956f36f9&fccid=9917de3c28f569f6&vjs=3,Tètris - Junior Site Manager,"Roma, Lazio",,3.7
IBM,https://it.indeed.com/cmp/IBM,https://it.indeed.com/rc/clk?jk=97c19335a6bd034f&fccid=de71a49b535e21cb&vjs=3,Project Manager-Process Automation ( RPA),"Roma, Lazio",,3.9
Superpedestrian,,https://it.indeed.com/rc/clk?jk=64492b47c85eb3ed&fccid=df984a91cd546eaa&vjs=3,Market Operations Project Manager,"Da remoto in Roma, Lazio",,
Baker Hughes,https://it.indeed.com/cmp/Baker-Hughes-Incorporated,https://it.indeed.com/rc/clk?jk=29970944374b505a&fccid=f4c6ba597fc7aa75&vjs=3,Senior Project Manager,50127 Firenze,True,4.0
Siemens,https://it.indeed.com/cmp/Siemens,https://it.indeed.com/rc/clk?jk=1c094cd52e8d5114&fccid=ea6bb53f0b18b8f2&vjs=3,Customer Service Project Manager,Da remoto in 20128 Milano,True,4.0
Alstom,https://it.indeed.com/cmp/Alstom,https://it.indeed.com/rc/clk?jk=45bcd447252c4f37&fccid=70bbeb2771f8c8e7&vjs=3,Documentation Manager Project Turin L1,"Roma, Lazio",,4.0
Amazon Italia Services Srl,https://it.indeed.com/cmp/Amazon.com,https://it.indeed.com/rc/clk?jk=3b125716914fa690&fccid=fe2d21eef233e94a&vjs=3,"Program Manager , IT Public Policy","Roma, Lazio",True,3.5
LOGISTA ITALY,https://it.indeed.com/cmp/Logista-1,https://it.indeed.com/rc/clk?jk=b5c678b527f6744c&fccid=52fb18aa2c4e3b3d&vjs=3,Real Estate Project Manager - Roma HQ,"Roma, Lazio",,3.7
Hunters Group S.r.l.,,https://it.indeed.com/company/Technical-Hunter-S.r.l./jobs/Energy-Project-Manager-7c56987cbada486e?fccid=8f697d7b2a9a958b&vjs=3,Energy Project Manager,"Da remoto in Roma, Lazio",True,
Vodafone,https://it.indeed.com/cmp/Vodafone,https://it.indeed.com/rc/clk?jk=8d9c0466429c6e47&fccid=374d720d3973ca1c&vjs=3,Senior Project Manager PA,"Roma, Lazio",,3.9
Internet & Idee,,https://it.indeed.com/rc/clk?jk=168bbcb06d195033&fccid=4241c9699760b75d&vjs=3,Project Manager,"Da remoto in Roma, Lazio",,
ALSTOM,https://it.indeed.com/cmp/Alstom,https://it.indeed.com/rc/clk?jk=e46dcf72e011ec46&fccid=70bbeb2771f8c8e7&vjs=3,Project Engineering Manager,"Roma, Lazio",,4.0
Acciona,https://it.indeed.com/cmp/Acciona,https://it.indeed.com/rc/clk?jk=c75e15e8660549b5&fccid=b7d7292f6a4117f1&vjs=3,Business Development Manager,"Roma, Lazio",,4.0
Eggup S.r.l.,,https://it.indeed.com/rc/clk?jk=dee212ac3bacc7fd&fccid=e9a3b7ea69298e0b&vjs=3,Marketing & Communication Manager - (Full Smart Working),Da remoto in 00131 Roma,,
Carbon60 Global,,https://it.indeed.com/rc/clk?jk=2ad49e26fb668b09&fccid=8ab14b8c2c660019&vjs=3,Project Director,"Bologna, Emilia-Romagna",,
Quix Srl,,https://it.indeed.com/company/Quix-Srl/jobs/IT-Project-Manager-c12652eee59ef658?fccid=193fd48fcd5d1d0f&vjs=3,IT Project Manager,"Da remoto in Modena, Emilia-Romagna",True,
KT - Kinetics Technology,,https://it.indeed.com/rc/clk?jk=362bb79d35699e4b&fccid=ad251f1f5280018d&vjs=3,PROJECT PROCUREMENT COORDINATOR,"Roma, Lazio",,
Carbon60 Global,,https://it.indeed.com/rc/clk?jk=85bd5df3ce1a67b2&fccid=8ab14b8c2c660019&vjs=3,Project Manager (EPC),"Bologna, Emilia-Romagna",,
Thales Group,https://it.indeed.com/cmp/Thales,https://it.indeed.com/rc/clk?jk=2f4b13919cbc0144&fccid=b920aab5fd60595d&vjs=3,Product Assurance Manager - Institutional Project,"Roma, Lazio",,3.9
Thermo Fisher Scientific,https://it.indeed.com/cmp/Thermo-Fisher-Scientific,https://it.indeed.com/rc/clk?jk=e663019ac83c7a01&fccid=126e3afd205caa95&vjs=3,Technology Transfer Project Manager,"Ferentino, Lazio",True,3.5
Evaluating srl,,https://it.indeed.com/rc/clk?jk=bf25210341dfbe6b&fccid=22986222338b71d8&vjs=3,Project Manager rif ACC3,"Roma, Lazio",,
Free Energia S.p.A.,,https://it.indeed.com/company/FREE-ENERGIA-S.p.A./jobs/Junior-Project-Manager-473a490805469d45?fccid=c0c6cb907ec02f59&vjs=3,Junior Project Manager,00193 Roma,,
Soldo,,https://it.indeed.com/rc/clk?jk=60b579379a7535c0&fccid=bb48084594119bfb&vjs=3,Project Manager,"Da remoto in Roma, Lazio",,
Translated,https://it.indeed.com/cmp/Translated,https://it.indeed.com/rc/clk?jk=b967a2b8c08bc95f&fccid=f01705f488630cea&vjs=3,Translation Project Manager - Enterprise clients,00144 Roma,,4.0
Honeywell,https://it.indeed.com/cmp/Honeywell,https://it.indeed.com/rc/clk?jk=7c68fc1da64236d3&fccid=50208b5bf45ee3b8&vjs=3,Junior Project Manager - Roma,00148 Roma,,3.7
Rextart,https://it.indeed.com/cmp/Rextart,https://it.indeed.com/rc/clk?jk=82961c6dcacffaee&fccid=4e5c57d6820600cb&vjs=3,Project Manager,"Da remoto in Roma, Lazio",,2.9
Zilio Group,,https://it.indeed.com/company/Zilio-Group/jobs/Project-Manager-Fotovoltaico-b94b4bbc4d390b31?fccid=b3ba265360466bec&vjs=3,Project Manager Fotovoltaico,"Roma, Lazio",,
John Zink Hamworthy Combustion,https://it.indeed.com/cmp/Koch-Industries,https://it.indeed.com/rc/clk?jk=439ad6beb78b9556&fccid=735667c8ff2f1a48&vjs=3,Project Manager,"Aprilia, Lazio",,3.6
Web is Business (WiB),,https://it.indeed.com/rc/clk?jk=32f25021ab564ca5&fccid=34fe7b0479bfa903&vjs=3,Project Manager Junior,"Porto San Giorgio, Marche",,
IBM,https://it.indeed.com/cmp/IBM,https://it.indeed.com/rc/clk?jk=030721bc7b7c254e&fccid=de71a49b535e21cb&vjs=3,Project Manager-SAP HANA (Logistica)-IBM Consulting,"Roma, Lazio",,3.9
Fagioli,,https://it.indeed.com/rc/clk?jk=57c9dafdb69acffa&fccid=e16896137e2ccb22&vjs=3,PROJECT SITE MANAGER,"Da remoto in Sant'Ilario d'Enza, Emilia-Romagna",True,
Translated,https://it.indeed.com/cmp/Translated,https://it.indeed.com/rc/clk?jk=dcdc799fdec079f8&fccid=f01705f488630cea&vjs=3,Project Manager - Core Business,00144 Roma,,4.0
Aizoon,https://it.indeed.com/cmp/Aizoon,https://it.indeed.com/rc/clk?jk=85c162af91231d00&fccid=8cbd41cbff8b8d6d&vjs=3,Project Planner,"Provincia di Roma, Lazio",,3.3
Google,https://it.indeed.com/cmp/Google,https://it.indeed.com/rc/clk?jk=ad0a6ab38307704d&fccid=a5b4499d9e91a5c6&vjs=3,"Program Manager, Managed Infrastructure Operations","Roma, Lazio",True,4.3
Degen_,,https://it.indeed.com/company/Degen_/jobs/IT-Project-Manager-b403a552f7c8b176?fccid=a83aeeb4e3c0d058&vjs=3,IT Project Manager,Da remoto in 20125 Milano,True,
